Dog_Name,Breed,Zip
JACK,TERRIER MIX,02421
GABBY,LABRADOODLE,02421
SPYDER,WHIPPET,02420
POE,WHIPPET,02420
FEZZIK,MIX,02421
MENDEL,RETRIEVER GOLDEN,02421
OREO JUNO,TERRIER BOSTON,02421
ZIGGY,LABRADOODLE,02421
AMBER,RETRIEVER GOLDEN,02420
NELLY,GOLDENDOODLE,02421
GRIZZLY,GOLDENDOODLE,02421
BEAR,GOLDENDOODLE,02421
ROTOR,POODLE MIX,02420
WIMSEY,LABRADOR,02420
SHINY,LABRADOR,02421
DJANGO,AUSTRALIAN LABRADOODLE,02420
JOIE,AUSTRALIAN LABRADOODLE,02420
CHASE,COLLIE BORDER MIX,02420
JETER,NEWFOUNDLAND,02420
JACKSON,TERRIER JACK RUSSELL MIX,02421
BRANDY,CAVACHON,02421
RUDY,SAMOYED,02421
REESE,GOLDENDOODLE,02421
MAXWELL,POODLE,02421
AGGIE,RETRIEVER GOLDEN,02421
LOUIS AKA LOUIE,CHIHUAHUA MIX,02421
MILLIE,RETRIEVER LABRADOR,02421
EMMETT,CORGI MIX,02421
PAYSLEIGH,GOLDENDOODLE,02420
TEDDY,BICHON FRISE,02421
CELLA,WELSH CORGI,02421
VICTOR,WELSH CORGI,02421
LUNA,RETRIEVER GOLDEN,02420
MOZART,MALTESE,02421
BELLE SUNSHINE,LABRADOODLE,02421
CHARLEY,POODLE,02420
SAM,POODLE TOY,02420
OLLIE,MIX,02420
OBIE,MALTESE MIX,02421
BAILEY,RETRIEVER GOLDEN,02420
MARLEY,LABRADOR MIX,02420
ROSCOE,SPANIEL TIBETAN,02421
NELLIE,MIX,02421
LUCY,MIX,02421
RILEY,RETRIEVER LABRADOR,02421
AVA,GREAT PYRENEES MIX,02421
FINN,BULLDOG OLD ENGLISH,02420
BLAZE,NEWFOUNDLAND,02420
BRIO,GOLDENDOODLE MINI,02421
TOY,LHASA APSO MIX,02420
JAVA,LABRADOR,02420
AUGIE,MALTESE POODLE MIX,02420
TATE,TERRIER JACK RUSSELL MIX,02421
NUGGET,SPANIEL COCKER MIX,02421
ISLA,RETRIEVER GOLDEN,02421
COCO,AUSTRALIAN LABRADOODLE,02420
DUKE,MALTIPOO,02421
JACKIE,WHIPPET LAB,02420
TUCKER,TERRIER AUSTRALIAN MIX,02421
NELLIE,VIZSLA,02420
SAGE,TERRIER TIBETAN,02421
COOKIE,RETRIEVER GOLDEN,02421
NUTMEG,CORGI MIX,02421
BLACKIE,DACHSHUND,02420
MARTY,TERRIER WEST HIGHLAND,02420
IZZIE,HAVANESE,02421
BENJAMIN,RETRIEVER GOLDEN,02421
JOY,PORTUGUESE WATER DOG,02421
CHORONG,POODLE,02420
BERRY,PEKAPOO,02420
LUCY,BEAGLE,02420
LEXIE,POODLE TOY,02420
